CD_LOJA;CD_MERCADORIA;ST_LIBERA_SEM_ESTOQUE;DS_CURVA_ABC;NR_QTDE_PONTO_RESSUPRIMENTO;NR_QTDE_ESTOQUE_SEGURANCA;NR_QTDE_ESTOQUE;NR_QTDE_RESERVA;DT_UltimaAlteracao;UsuarioUltimaAlteracao;ST_MERCADORIA_COMPRADA
1;1322;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-09-03 17:55:23.153;GRACILENE;
1;1323;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-02-05 17:48:33.497;GRACILENE;
1;1324;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2013-10-29 11:09:59.460;ORANGE;
1;1325;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-12-02 11:54:24.077;GRACILENE;
1;1326;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-10-01 18:12:34.523;GRACILENE;
1;1327;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-10-30 10:29:57.653;GRACILENE;
1;1328;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-03-26 08:49:16.310;GRACILENE;
1;1329;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-03-03 09:16:33.030;GRACILENE;
1;1330;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-03-02 16:52:43.217;GRACILENE;
1;1331;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-10-03 12:15:21.640;GRACILENE;
1;1332;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2013-10-24 15:03:21.530;ORANGE;
1;1333;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-11-28 11:13:48.750;GRACILENE;
1;1334;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-07-10 15:11:07.560;GRACILENE;
1;1335;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-09-16 17:07:54.250;GRACILENE;
1;1336;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-09-11 17:41:03.903;GRACILENE;
1;1337;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-05-13 17:27:44.937;GRACILENE;
